"","ContractID","ContractType","NotionalPrincipal","PremiumDiscountAtIED","ContractDealDate","InitialExchangeDate","MaturityDate","StatusDate","NominalInterestRate","CycleOfInterestPayment","CycleAnchorDateOfInterestPayment","CycleAnchorDateOfRateReset","CycleOfRateReset","RateSpread","MarketObjectCodeOfRateReset","CycleAnchorDateOfPrincipalRedemption","CycleOfPrincipalRedemption","NextPrincipalRedemptionPayment","AmortizationDate","Calendar","BusinessDayConvention","EndOfMonthConvention","ContractRole","LegalEntityIDRecordCreator","CounterpartyID","ArrayCycleAnchorDateOfInterestPayment","ArrayCycleOfInterestPayment","DayCountConvention","AccruedInterest","CapitalizationEndDate","CycleAnchorDateOfInterestCalculationBase","CycleOfInterestCalculationBase","InterestCalculationBase","InterestCalculationBaseAmount","CyclePointOfInterestPayment","Currency","ArrayCycleAnchorDateOfPrincipalRedemption","ArrayCycleOfPrincipalRedemption","ArrayNextPrincipalRedemptionPayment","ArrayIncreaseDecrease","PurchaseDate","PriceAtPurchaseDate","TerminationDate","PriceAtTerminationDate","MarketObjectCodeOfScalingIndex","ScalingIndexAtStatusDate","CycleAnchorDateOfScalingIndex","CycleOfScalingIndex","ScalingEffect","ArrayCycleAnchorDateOfRateReset","ArrayCycleOfRateReset","ArrayRate","ArrayFixedVariable","CyclePointOfRateReset","FixingPeriod","NextResetRate","RateMultiplier","RateTerm"
"1","CT101","PAM",1000,0,"2016-01-01","2016-01-02","2016-04-02","2016-01-01",0.1,"NULL","NULL","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NC","NULL","SD","RPA","NULL","TEST_LEI_CP","NULL","NULL","30E360","NULL","NULL","NULL","NULL","NULL","NULL","E","EUR","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B","NULL","NULL",1,"NULL"
"2","CT102","PAM",5000,0,"2016-01-01","2016-01-02","2016-04-02","2016-01-01",0.08,"NULL","NULL","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NC","NULL","SD","RPA","NULL","TEST_LEI_CP","NULL","NULL","30E360","NULL","NULL","NULL","NULL","NULL","NULL","E","EUR","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B","NULL","NULL",1,"NULL"
"3","CT103","PAM",1000,0,"2016-01-01","2016-01-02","2016-04-02","2016-01-01",0.05,"NULL","NULL","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NC","NULL","SD","RPA","NULL","TEST_LEI_CP","NULL","NULL","30E360","NULL","NULL","NULL","NULL","NULL","NULL","E","EUR","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B","NULL","NULL",1,"NULL"
"4","CT104","PAM",10000,0,"2016-01-01","2016-01-02","2020-01-02","2016-01-01",0.06,"P1YL0","2016-12-31","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NC","NULL","SD","RPA","NULL","TEST_LEI_CP","NULL","NULL","30E360","NULL","NULL","NULL","NULL","NULL","NULL","E","EUR","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B","NULL","NULL",1,"NULL"
"5","CT105","PAM",5000,0,"2016-01-01","2016-01-02","2020-01-02","2016-01-01",0.05,"P1YL0","2016-12-31","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NC","NULL","SD","RPA","NULL","TEST_LEI_CP","NULL","NULL","30E360","NULL","NULL","NULL","NULL","NULL","NULL","E","EUR","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B","NULL","NULL",1,"NULL"
"6","CT106","PAM",20000,0,"2016-01-01","2016-01-02","2020-01-02","2016-01-01",0.01,"P6ML0","2016-12-31","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","NC","NULL","SD","RPL","NULL","TEST_LEI_CP","NULL","NULL","30E360","NULL","NULL","NULL","NULL","NULL","NULL","E","EUR","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B","NULL","NULL",1,"NULL"
"7","CT107","PAM",10000,0,"2016-01-01","2016-01-02","2020-01-02","2016-01-01",0.06,"P1YL0","2016-12-31","NULL","NULL",0,"NULL","NULL","NULL","NULL","NULL","MF","SCF","SD","RPA","NULL","TEST_LEI_CP","NULL","NULL","AA","NULL","NULL","NULL","NULL","NULL","NULL","E","EUR","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B","NULL","NULL",1,"NULL"
"8","CT108","PAM",5000,0,"2016-01-01","2016-01-02","2025-01-02","2016-01-01",0.04,"P1YL0","2016-12-31","2017-01-02","P1YL0",0.02,"YC_EA_AAA","NULL","NULL","NULL","NULL","NC","NULL","SD","RPA","NULL","TEST_LEI_CP","NULL","NULL","30E360","NULL","NULL","NULL","NULL","NULL","NULL","E","EUR","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B","P0D","NULL",1,"NULL"
"9","CT109","PAM",20000,0,"2016-01-01","2016-01-02","2025-01-02","2016-01-01",0.015,"P1YL0","2016-12-31","2017-01-02","P2YL0",0.02,"YC_EA_AAA","NULL","NULL","NULL","NULL","NC","NULL","SD","RPL","NULL","TEST_LEI_CP","NULL","NULL","30E360","NULL","NULL","NULL","NULL","NULL","NULL","E","EUR","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B","P0D","NULL",1,"NULL"
"10","CT110","PAM",10000,0,"2016-01-01","2016-01-02","2025-01-02","2016-01-01",0.001,"P1YL0","2016-12-31","2017-07-02","P2YL0",0.02,"YC_EA_AAA","NULL","NULL","NULL","NULL","NC","NULL","SD","RPL","NULL","TEST_LEI_CP","NULL","NULL","30E360","NULL","NULL","NULL","NULL","NULL","NULL","E","EUR","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","B","P0D","NULL",1,"NULL"
